Запрос,Precision@5,Precision@10,Average Precision,NDCG@5
Илон Маск состояние,0.600000,0.300000,0.648283,0.876369
Яндекс выручка 2024,0.800000,0.400000,1.000000,0.901939
бизнес-ангелы,0.200000,0.300000,0.280298,0.399495
богатейшие предприниматели России,0.800000,0.500000,0.647222,0.730158
венчурные фонды России,1.000000,1.000000,1.000000,1.000000
выход на IPO,1.000000,1.000000,1.000000,1.000000
доставка еды стартапы,1.000000,1.000000,0.968943,0.894784
инвестиции в стартапы 2024,0.800000,0.900000,0.852975,0.886947
искусственный интеллект в бизнесе,0.800000,0.800000,0.818058,0.731031
слияние компаний 2024,1.000000,1.000000,1.000000,1.000000
